E-BIKE Haibike; 40; 23800; FALSE; 30000; pink; 1455
E-BIKE Ecofect; 60; 23100; FALSE; 10000; golden; 1729
FOLDING BIKE Trinx; 14; 6; 10400; TRUE; dark gray; 1535
FOLDING BIKE Polygon; 24; 27; 10600; TRUE; grey; 645
FOLDING BIKE Make Bike; 20; 18; 10500; TRUE; lemon; 869
E-BIKE Booster; 15; 6500; FALSE; 3200; green; 699
E-BIKE ION; 25; 27700; FALSE; 17000; green; 3235
E-BIKE Zaxboard; 50; 22100; TRUE; 20000; beige; 1609
FOLDING BIKE Dahon; 20; 3; 8000; TRUE; lemon; 779
E-BIKE Booster; 55; 7600; FALSE; 8300; olive; 1339
FOLDING BIKE Formula; 20; 8; 16000; FALSE; green; 669
FOLDING BIKE Polygon; 16; 3; 10200; TRUE; coral; 845
E-BIKE Felt; 30; 21500; FALSE; 27000; lemon; 1265
E-BIKE Tesla; 40; 13900; TRUE; 14400; coral; 725
E-BIKE Lankeleisi; 50; 20500; FALSE; 19000; white; 859
E-BIKE Ecofect; 25; 23800; TRUE; 16000; beige; 2869
E-BIKE Peugeot; 20; 14300; FALSE; 7800; violet; 925
FOLDING BIKE West Bike; 20; 18; 11200; FALSE; red; 419
E-BIKE AirWheel; 20; 14300; FALSE; 4000; yellow; 1635
FOLDING BIKE Dahon; 20; 18; 16500; TRUE; olive; 1215
E-BIKE Speedelec Minirider; 35; 7000; FALSE; 10500; khaki; 265
E-BIKE ION; 25; 20800; TRUE; 30000; coral; 2355
FOLDING BIKE Polygon; 20; 8; 15600; FALSE; orange; 1285
E-BIKE Haibike; 30; 22700; TRUE; 24000; black; 1085
E-BIKE EcoRide; 45; 10900; TRUE; 13600; pink; 355
E-BIKE Mando Footloose; 65; 27700; TRUE; 20000; beige; 1849
E-BIKE Lankeleisi; 50; 21600; FALSE; 30000; flame; 859
E-BIKE EcoRide; 30; 19900; FALSE; 2100; olive; 369
E-BIKE Smart; 35; 20000; FALSE; 11700; golden; 245
E-BIKE EcoRide; 45; 8400; FALSE; 8300; beige; 1615
FOLDING BIKE Polygon; 16; 24; 11100; FALSE; lemon; 1379
E-BIKE Tesla; 25; 18200; FALSE; 10500; khaki; 559
E-BIKE Tesla; 65; 12600; TRUE; 6400; brown; 199
E-BIKE Segway; 50; 12800; TRUE; 4800; green; 1319
E-BIKE Ecofect; 35; 24500; TRUE; 19000; grenadine; 2865
FOLDING BIKE Intertool; 24; 21; 12900; TRUE; coral; 1565
FOLDING BIKE Trinx; 18; 8; 13500; TRUE; white; 1465
FOLDING BIKE Brompton; 16; 27; 8300; FALSE; grey; 195
E-BIKE Smart; 20; 8700; TRUE; 10500; silver; 1239
E-BIKE ION; 20; 20200; FALSE; 20000; grey; 1989
E-BIKE Booster; 25; 13500; FALSE; 8900; black; 869
FOLDING BIKE Titan; 20; 6; 13100; TRUE; rose; 365
E-BIKE Booster; 30; 18500; TRUE; 12700; coral; 885
FOLDING BIKE Crosser; 16; 7; 12200; FALSE; pink; 695
E-BIKE Scott; 45; 25900; FALSE; 21000; pink; 1759
E-BIKE AirWheel; 45; 7000; TRUE; 13000; golden; 299
E-BIKE Scott; 50; 21600; TRUE; 25000; yellow; 739
E-BIKE Xiaomi; 55; 23600; FALSE; 8000; black; 2555
FOLDING BIKE Titan; 20; 8; 8800; TRUE; yellow; 1665
E-BIKE Kugoo; 50; 16200; TRUE; 10500; silver; 599
E-BIKE Segway; 45; 20700; FALSE; 10700; yellow; 689
FOLDING BIKE Titan; 24; 18; 12200; FALSE; grenadine; 1509
FOLDING BIKE Author; 20; 7; 8800; TRUE; beige; 449
E-BIKE Aest; 65; 14200; TRUE; 14200; grey; 1479
E-BIKE ITrike; 60; 13200; FALSE; 13800; orange; 475
E-BIKE Lankeleisi; 50; 27800; TRUE; 26000; orange; 705
E-BIKE Speedelec Minirider; 55; 15200; FALSE; 5600; green; 899
E-BIKE Xiaomi; 30; 22800; TRUE; 25000; coral; 3119
FOLDING BIKE Titan; 26; 1; 13800; FALSE; blue; 1655
E-BIKE Gazelle; 30; 20400; TRUE; 29000; grenadine; 2195
E-BIKE Zaxboard; 25; 26200; TRUE; 22000; silver; 705
E-BIKE Freego; 65; 18600; FALSE; 14600; white; 209
E-BIKE Aest; 50; 19500; FALSE; 6300; red; 1385
E-BIKE Ultron; 45; 16900; FALSE; 13500; emerald; 1625
FOLDING BIKE Cayman; 20; 1; 12700; TRUE; flame; 1299
FOLDING BIKE Dahon; 18; 27; 11800; FALSE; brown; 839
E-BIKE ION; 45; 23500; FALSE; 24000; pink; 739
FOLDING BIKE Cayman; 26; 7; 13100; FALSE; emerald; 269
E-BIKE Xiaomi; 25; 22600; FALSE; 14000; flame; 1735
FOLDING BIKE Trinx; 20; 6; 11000; TRUE; blue; 1209
E-BIKE Gazelle; 35; 26100; FALSE; 14000; marine; 2515
FOLDING BIKE Flex; 24; 8; 9300; TRUE; orange; 779
FOLDING BIKE Stern; 20; 1; 8200; FALSE; orange; 615
E-BIKE Koga; 35; 24900; FALSE; 29000; white; 729
FOLDING BIKE Cayman; 26; 18; 12500; TRUE; coral; 1185
E-BIKE SkyBike; 55; 25900; FALSE; 9000; silver; 3239
FOLDING BIKE Intertool; 20; 1; 14300; TRUE; khaki; 859
FOLDING BIKE Author; 20; 27; 9200; FALSE; red; 1135
E-BIKE SkyBike; 35; 26800; TRUE; 25000; grey; 899
E-BIKE Ferrari; 65; 27300; TRUE; 18000; rose; 1675
E-BIKE Maraton; 55; 8500; TRUE; 2300; pink; 1389
FOLDING BIKE Brompton; 24; 3; 10400; TRUE; olive; 1315
E-BIKE Haibike; 30; 26200; FALSE; 24000; red; 1979
E-BIKE ION; 40; 24700; TRUE; 27000; dark gray; 1989
FOLDING BIKE BMW; 20; 7; 14400; FALSE; lemon; 1085
FOLDING BIKE Stern; 14; 8; 9600; TRUE; violet; 1539
E-BIKE Mando Footloose; 20; 23300; TRUE; 17000; violet; 1339
E-BIKE SkyBike; 30; 28600; FALSE; 20000; green; 2809
E-BIKE Haibike; 40; 25100; FALSE; 13000; beige; 2445
E-BIKE ElectrO; 20; 22500; FALSE; 31000; rose; 2029
FOLDING BIKE Dahon; 26; 27; 12600; FALSE; beige; 1025
FOLDING BIKE West Bike; 24; 9; 9600; TRUE; beige; 1315
E-BIKE SkyBike; 45; 21700; TRUE; 10000; black; 2119
E-BIKE Scott; 25; 21300; TRUE; 15000; pink; 3359
E-BIKE Maraton; 60; 7800; FALSE; 14900; flame; 1239
E-BIKE Segway; 40; 6700; FALSE; 9900; pink; 969
E-BIKE ElectrO; 40; 26700; FALSE; 17000; grenadine; 2729
E-BIKE GoCycle; 55; 25000; FALSE; 23000; flame; 2189
FOLDING BIKE Author; 20; 24; 14500; TRUE; rose; 509
E-BIKE Xiaomi; 55; 6500; FALSE; 3700; blue; 595
FOLDING BIKE Comanche; 20; 1; 11600; TRUE; pink; 279
E-BIKE Booster; 30; 8300; FALSE; 4000; orange; 835
E-BIKE E-Scooter; 60; 15300; FALSE; 14800; marine; 309
E-BIKE AirWheel; 35; 9800; FALSE; 10900; rose; 155
FOLDING BIKE BMW; 20; 18; 11500; TRUE; green; 469
FOLDING BIKE Author; 20; 9; 11900; TRUE; brown; 209
E-BIKE Farad; 30; 28700; TRUE; 14000; yellow; 2245
E-BIKE Booster; 50; 19600; FALSE; 9100; olive; 779
FOLDING BIKE Make Bike; 26; 1; 10300; TRUE; lemon; 765
E-BIKE Booster; 10; 20000; FALSE; 11800; dark gray; 1095
FOLDING BIKE Comanche; 20; 18; 9100; TRUE; violet; 1025
FOLDING BIKE Crosser; 20; 1; 13600; TRUE; red; 469
E-BIKE Speedelec Minirider; 30; 8200; TRUE; 15000; grenadine; 775
E-BIKE Ultron; 60; 7000; FALSE; 11400; lemon; 1055
E-BIKE Segway; 55; 11900; FALSE; 2000; marine; 339
E-BIKE Speedway; 50; 21200; FALSE; 15900; dark gray; 1159
E-BIKE ITrike; 65; 21800; FALSE; 12900; violet; 1389
E-BIKE Segway; 20; 13300; FALSE; 5900; silver; 335
FOLDING BIKE West Bike; 20; 7; 14700; TRUE; golden; 299
E-BIKE Speedway; 65; 15900; FALSE; 2100; flame; 1135
FOLDING BIKE VNV; 24; 24; 11000; TRUE; coral; 1505
FOLDING BIKE Crosser; 18; 8; 8700; TRUE; olive; 1575
E-BIKE E-Motion; 40; 26500; FALSE; 14000; golden; 1715
FOLDING BIKE Brompton; 20; 7; 15300; FALSE; khaki; 299
FOLDING BIKE Cayman; 24; 6; 11600; FALSE; orange; 1315
E-BIKE Scott; 65; 20400; FALSE; 24000; orange; 3209
FOLDING BIKE Brompton; 20; 7; 8000; FALSE; dark gray; 999
E-BIKE Zaxboard; 30; 23700; TRUE; 26000; lemon; 2889
E-BIKE EcoRide; 50; 19500; FALSE; 11100; green; 449
FOLDING BIKE Cayman; 26; 6; 11800; TRUE; black; 1259
E-BIKE Scott; 20; 27100; FALSE; 20000; black; 2565
E-BIKE Maraton; 65; 21700; FALSE; 8700; emerald; 1445
E-BIKE E-Scooter; 10; 15800; FALSE; 3100; yellow; 1375
FOLDING BIKE Dahon; 20; 8; 16900; TRUE; dark gray; 1595
FOLDING BIKE Trinx; 20; 27; 8000; TRUE; grey; 885
E-BIKE GoCycle; 40; 20300; TRUE; 25000; orange; 3269
E-BIKE Ultron; 30; 20300; TRUE; 14800; green; 299
E-BIKE Dualtron; 50; 16100; FALSE; 2600; violet; 1645
E-BIKE Ultron; 50; 20500; FALSE; 13000; emerald; 549
E-BIKE Lankeleisi; 65; 25900; TRUE; 15000; flame; 1315
E-BIKE Zaxboard; 65; 25900; TRUE; 9000; rose; 2945
E-BIKE Xiaomi; 35; 18100; FALSE; 10300; violet; 1499
E-BIKE Freego; 35; 21300; FALSE; 4500; yellow; 779
E-BIKE E-Scooter; 60; 9600; FALSE; 2700; rose; 1415
E-BIKE Speedelec Minirider; 65; 14100; TRUE; 5000; white; 1499
E-BIKE ElectrO; 65; 20500; TRUE; 13000; yellow; 1849
E-BIKE Peugeot; 30; 14000; TRUE; 12300; golden; 1175
E-BIKE Mercedes; 25; 19400; TRUE; 23000; blue; 1719
E-BIKE Mercedes; 60; 20400; FALSE; 24000; grey; 3105
E-BIKE Scott; 40; 21600; TRUE; 25000; brown; 1049
E-BIKE Mando Footloose; 50; 19200; TRUE; 28000; yellow; 1385
FOLDING BIKE West Bike; 20; 21; 15300; FALSE; lemon; 1039
FOLDING BIKE Titan; 20; 9; 13800; FALSE; violet; 1239
E-BIKE Haibike; 30; 24200; TRUE; 19000; pink; 849
E-BIKE Rover; 35; 22400; FALSE; 11000; rose; 2429
FOLDING BIKE Brompton; 20; 6; 9600; TRUE; orange; 885
FOLDING BIKE Cayman; 26; 1; 16300; FALSE; khaki; 605
FOLDING BIKE Formula; 16; 21; 12200; TRUE; flame; 269
E-BIKE Scott; 35; 24500; FALSE; 14000; flame; 1775
E-BIKE Ultron; 60; 9200; TRUE; 14800; grey; 1549
FOLDING BIKE Formula; 20; 21; 11100; FALSE; rose; 1675
FOLDING BIKE Formula; 26; 9; 9300; FALSE; orange; 915
E-BIKE Tesla; 55; 20800; FALSE; 14500; grenadine; 885
E-BIKE Xiaomi; 65; 26300; FALSE; 29000; yellow; 3489
FOLDING BIKE Stern; 26; 27; 8200; TRUE; olive; 1325
FOLDING BIKE Intertool; 20; 6; 15300; TRUE; rose; 655
E-BIKE Dualtron; 15; 11800; TRUE; 10500; yellow; 1449
E-BIKE Aest; 45; 14300; FALSE; 5800; blue; 1049
FOLDING BIKE VNV; 24; 1; 10100; TRUE; red; 575
E-BIKE AirWheel; 30; 6900; FALSE; 14400; marine; 1669
E-BIKE Ecofect; 35; 28200; FALSE; 9000; brown; 2145
E-BIKE E-Scooter; 50; 12700; FALSE; 4500; black; 299
FOLDING BIKE West Bike; 24; 1; 10800; TRUE; red; 525
E-BIKE Gazelle; 60; 26600; TRUE; 12000; emerald; 2985
E-BIKE ElectrO; 55; 22700; FALSE; 26000; flame; 805
FOLDING BIKE Titan; 26; 27; 16900; FALSE; grey; 1299
E-BIKE Gazelle; 50; 21400; TRUE; 30000; green; 1889
E-BIKE Gazelle; 20; 25600; FALSE; 8000; marine; 1405
E-BIKE Segway; 25; 16800; FALSE; 2200; silver; 929
FOLDING BIKE Polygon; 24; 6; 16400; FALSE; coral; 725
E-BIKE SkyBike; 20; 23700; TRUE; 22000; golden; 2645
E-BIKE OIO; 10; 10400; FALSE; 8800; pink; 1099
E-BIKE AirWheel; 40; 7700; TRUE; 11600; orange; 1319
FOLDING BIKE Comanche; 18; 24; 13700; FALSE; marine; 755
E-BIKE Speedelec Minirider; 30; 16900; TRUE; 11000; beige; 985
FOLDING BIKE Benetti; 24; 6; 9400; TRUE; silver; 1195
E-BIKE Zaxboard; 55; 28800; TRUE; 30000; black; 2395
E-BIKE E-Scooter; 10; 16800; TRUE; 3700; brown; 849
E-BIKE Smart; 40; 9600; FALSE; 13000; brown; 1065
E-BIKE Speedelec Minirider; 35; 9000; TRUE; 4200; black; 1479
E-BIKE Gazelle; 50; 26900; TRUE; 15000; green; 2359
FOLDING BIKE Benetti; 18; 7; 10900; TRUE; beige; 1165
E-BIKE Scott; 45; 28900; TRUE; 30000; yellow; 1185
E-BIKE Ecofect; 35; 23500; FALSE; 13000; golden; 3389
FOLDING BIKE Titan; 20; 1; 11800; TRUE; rose; 225
E-BIKE Ferrari; 20; 23800; TRUE; 14000; violet; 2479
FOLDING BIKE Stern; 20; 8; 15500; FALSE; dark gray; 519
E-BIKE AirWheel; 10; 7000; FALSE; 2600; blue; 1145
E-BIKE Haibike; 25; 24300; TRUE; 25000; beige; 1975
E-BIKE Kugoo; 65; 20700; FALSE; 5400; emerald; 1235
FOLDING BIKE Benetti; 24; 1; 16100; TRUE; violet; 329
FOLDING BIKE Polygon; 24; 3; 14000; FALSE; khaki; 639
FOLDING BIKE Dahon; 20; 27; 15900; TRUE; rose; 1589
E-BIKE Ferrari; 25; 21900; FALSE; 15000; green; 1689
E-BIKE Tesla; 25; 18800; TRUE; 12800; blue; 1019
E-BIKE Farad; 45; 20100; TRUE; 14000; lemon; 2379
E-BIKE ION; 35; 28400; TRUE; 31000; yellow; 3245
E-BIKE Segway; 55; 16300; FALSE; 6000; brown; 1389
E-BIKE ION; 35; 22400; FALSE; 17000; khaki; 1005
E-BIKE Zaxboard; 45; 20300; FALSE; 25000; green; 3059
E-BIKE Kugoo; 15; 21800; TRUE; 4100; grey; 805
FOLDING BIKE Dahon; 24; 9; 10600; FALSE; lemon; 389
FOLDING BIKE Make Bike; 26; 27; 8100; TRUE; red; 305
E-BIKE Rover; 30; 19000; TRUE; 22000; grey; 3369
E-BIKE Rover; 25; 23300; TRUE; 26000; olive; 679
E-BIKE Speedway; 35; 18400; TRUE; 11900; grey; 339
E-BIKE Gazelle; 25; 25300; FALSE; 19000; silver; 1029
E-BIKE Haibike; 45; 24200; FALSE; 16000; khaki; 2765
E-BIKE ElectrO; 40; 23600; FALSE; 11000; orange; 2445
FOLDING BIKE BMW; 20; 1; 10500; FALSE; blue; 635
FOLDING BIKE VNV; 20; 27; 10100; TRUE; emerald; 1645
FOLDING BIKE West Bike; 16; 21; 14000; TRUE; rose; 1305
E-BIKE E-Motion; 50; 26500; FALSE; 8000; yellow; 2145
E-BIKE Speedway; 15; 21900; FALSE; 6600; marine; 1475
E-BIKE Zaxboard; 60; 26300; TRUE; 28000; yellow; 1675
E-BIKE Maraton; 20; 19800; FALSE; 15900; silver; 1215
FOLDING BIKE Formula; 26; 6; 10400; FALSE; flame; 825
E-BIKE Xiaomi; 45; 26100; TRUE; 13000; green; 1269
E-BIKE Booster; 50; 9300; TRUE; 5600; khaki; 455
FOLDING BIKE Comanche; 16; 1; 15600; TRUE; dark gray; 619
E-BIKE Lankeleisi; 60; 24400; FALSE; 13000; white; 3095
FOLDING BIKE Intertool; 24; 9; 10600; FALSE; blue; 725
E-BIKE Peugeot; 45; 17200; FALSE; 9100; white; 1599
E-BIKE Porshe Design; 60; 28300; TRUE; 27000; grey; 1005
E-BIKE Rover; 30; 19200; FALSE; 21000; rose; 2065
E-BIKE Speedelec Minirider; 35; 7200; FALSE; 7200; white; 1665
E-BIKE Smart; 55; 15500; FALSE; 5900; grey; 315
E-BIKE Speedelec Minirider; 15; 18800; FALSE; 13100; white; 729
E-BIKE Xiaomi; 45; 19900; TRUE; 12800; silver; 575
E-BIKE Zaxboard; 30; 20300; FALSE; 29000; pink; 2205
FOLDING BIKE BMW; 20; 27; 13200; FALSE; golden; 1289
E-BIKE Kugoo; 10; 8100; FALSE; 9900; grey; 1299
E-BIKE Dualtron; 15; 10600; TRUE; 3400; white; 439
FOLDING BIKE Crosser; 20; 18; 13800; FALSE; khaki; 249
E-BIKE Freego; 45; 20700; FALSE; 12000; silver; 1445
FOLDING BIKE Kross; 20; 1; 12700; FALSE; grey; 865
FOLDING BIKE Formula; 14; 1; 13900; FALSE; khaki; 425
E-BIKE Dualtron; 50; 17300; TRUE; 15500; flame; 1549
E-BIKE AirWheel; 50; 8400; TRUE; 7900; emerald; 1599
E-BIKE Xiaomi; 10; 20800; TRUE; 10400; brown; 505
FOLDING BIKE Titan; 20; 24; 10400; TRUE; olive; 479
E-BIKE Haibike; 55; 26300; FALSE; 18000; red; 1805
FOLDING BIKE Polygon; 20; 6; 9400; TRUE; black; 975
E-BIKE E-Motion; 65; 25900; TRUE; 13000; green; 2919
E-BIKE ElectrO; 50; 28100; FALSE; 11000; silver; 3139
E-BIKE Felt; 60; 27500; FALSE; 29000; blue; 2825
E-BIKE Freego; 25; 9900; FALSE; 15100; marine; 765
E-BIKE E-Scooter; 65; 6600; FALSE; 9700; golden; 1435
E-BIKE Mercedes; 50; 23600; TRUE; 15000; emerald; 1505
E-BIKE Speedelec Minirider; 15; 10000; FALSE; 13900; coral; 855
E-BIKE Mando Footloose; 25; 20300; FALSE; 14000; white; 2565
E-BIKE ITrike; 45; 13200; FALSE; 2100; green; 715
E-BIKE E-Scooter; 40; 19800; FALSE; 3000; grenadine; 709
FOLDING BIKE Cayman; 24; 27; 14000; FALSE; rose; 665
E-BIKE Tesla; 65; 8300; FALSE; 5100; grey; 475
E-BIKE Dualtron; 30; 15500; FALSE; 4900; red; 439
FOLDING BIKE Dahon; 16; 18; 11400; TRUE; beige; 709
E-BIKE Felt; 65; 22000; TRUE; 11000; rose; 1235
FOLDING BIKE Titan; 14; 27; 11900; FALSE; coral; 1559
FOLDING BIKE Stern; 26; 21; 11100; FALSE; orange; 465
E-BIKE E-Scooter; 10; 8600; FALSE; 10200; black; 605
E-BIKE Aest; 55; 21800; FALSE; 8400; blue; 359
E-BIKE ION; 60; 28900; FALSE; 31000; emerald; 3099
FOLDING BIKE Kross; 20; 24; 8500; FALSE; brown; 1545
E-BIKE AirWheel; 20; 13900; TRUE; 14700; golden; 549
FOLDING BIKE Stern; 18; 3; 14500; FALSE; rose; 1635
FOLDING BIKE Cayman; 26; 18; 8600; TRUE; brown; 389
FOLDING BIKE Flex; 26; 9; 12900; TRUE; marine; 349
E-BIKE EcoRide; 60; 19100; TRUE; 2800; olive; 879
E-BIKE Ferrari; 30; 19200; FALSE; 9000; beige; 3059
E-BIKE E-Motion; 35; 25700; FALSE; 16000; blue; 3399
FOLDING BIKE Trinx; 20; 27; 14600; FALSE; pink; 465
E-BIKE Lankeleisi; 60; 28200; FALSE; 15000; coral; 2429
E-BIKE Freego; 25; 13900; TRUE; 3800; marine; 849
E-BIKE Dualtron; 25; 10000; TRUE; 9100; brown; 1279
E-BIKE Speedway; 10; 19200; TRUE; 6400; black; 399
E-BIKE Maraton; 55; 17500; FALSE; 2100; dark gray; 765
E-BIKE ITrike; 45; 13000; TRUE; 8100; grenadine; 1185
E-BIKE Ultron; 55; 19800; TRUE; 14400; emerald; 1479
E-BIKE Scott; 20; 19800; FALSE; 9000; lemon; 1455
E-BIKE Mando Footloose; 55; 20600; FALSE; 21000; coral; 1385
E-BIKE Mercedes; 45; 24200; FALSE; 28000; beige; 2399
E-BIKE Dualtron; 35; 18600; TRUE; 4700; grey; 489
FOLDING BIKE Crosser; 24; 18; 9700; TRUE; black; 365
FOLDING BIKE VNV; 26; 6; 10800; TRUE; red; 1435
FOLDING BIKE Benetti; 24; 3; 9700; TRUE; white; 1349
E-BIKE Speedway; 25; 6800; FALSE; 15200; blue; 915
FOLDING BIKE Trinx; 20; 1; 10700; TRUE; green; 1599
E-BIKE ION; 35; 25100; TRUE; 12000; marine; 1059
E-BIKE Rover; 45; 27300; FALSE; 12000; grenadine; 2799
E-BIKE ITrike; 55; 15000; FALSE; 14500; emerald; 945
FOLDING BIKE VNV; 20; 9; 9700; FALSE; grenadine; 1325
E-BIKE Farad; 60; 21200; FALSE; 16000; green; 1949
FOLDING BIKE SkyBike; 16; 9; 14800; TRUE; yellow; 1049
FOLDING BIKE VNV; 20; 8; 14000; TRUE; golden; 939
FOLDING BIKE Crosser; 20; 1; 14800; TRUE; white; 395
E-BIKE ITrike; 65; 9900; FALSE; 9000; rose; 205
E-BIKE Speedelec Minirider; 65; 7800; TRUE; 9700; rose; 665
FOLDING BIKE Comanche; 20; 21; 13300; TRUE; dark gray; 405
E-BIKE Dualtron; 60; 20500; FALSE; 15600; golden; 869
E-BIKE E-Scooter; 20; 13500; FALSE; 7500; flame; 435
E-BIKE SkyBike; 30; 22800; FALSE; 19000; red; 3305
FOLDING BIKE Titan; 14; 9; 13100; FALSE; orange; 1055
FOLDING BIKE Flex; 24; 21; 9700; FALSE; dark gray; 1539
E-BIKE ION; 20; 26900; FALSE; 21000; golden; 1359
FOLDING BIKE Crosser; 20; 9; 12100; FALSE; grey; 1529
FOLDING BIKE Trinx; 20; 24; 10700; TRUE; pink; 855
E-BIKE Haibike; 55; 27400; TRUE; 12000; rose; 1955
E-BIKE Porshe Design; 60; 26500; TRUE; 25000; dark gray; 3479
